destination_apt,capacity,freq,,,,,
0,88,1,,,,,
1,100,1,,,,,
2,0,100,65,,,,
3,88,1,,,76,6840,19.54285714
4,100,1,,,,,
5,88,1,,,,,
6,88,1,,,,5224,14.92571429
7,100,1,,,,,
8,88,3,,,,,
9,0,1,,,,,
10,376,1,,,,,
