iata,icao,name,lat,lon,alt,continent,iso_country
BHD,EGAC,George Best Belfast City Airport,54.61809921,-5.872499943,15,EU,GB
BHX,EGBB,Birmingham International Airport,52.45389938,-1.748029947,327,EU,GB
BIA,LFKB,Bastia-Poretta Airport,42.55270004,9.483730316,26,EU,FR
BIO,LEBB,Bilbao Airport,43.30110168,-2.910609961,138,EU,ES
BIQ,LFBZ,Biarritz-Anglet-Bayonne Airport,43.4683333,-1.5311111,245,EU,FR
BIU,BIBD,Bildudalur Airport,65.64129639,-23.5461998,18,EU,IS
BJD,BIBK,Bakkafjörður Airport,66.02189636,-14.82439995,14,EU,IS
BJF,ENBS,Båtsfjord Airport,70.60050201,29.69140053,490,EU,NO
BJY,LYBT,Batajnica Air Base,44.935299,20.2575,265,EU,RS
BJZ,LEBZ,Badajoz Airport,38.8913002,-6.82133007,609,EU,ES
BKA,UUBB,Bykovo Airport,55.61719894,38.06000137,427,EU,RU
BLE,ESSD,Borlange Airport,60.42200089,15.51519966,503,EU,SE
BLK,EGNH,Blackpool International Airport,53.77170181,-3.028609991,34,EU,GB
BLL,EKBI,Billund Airport,55.74029922,9.151780128,247,EU,DK
BLO,BIBL,Hjaltabakki Airport,65.64499664,-20.28750038,131,EU,IS
BLQ,LIPE,Bologna Guglielmo Marconi Airport,44.5354,11.2887,123,EU,IT
BLX,LIDB,Belluno Airport,46.166549,12.250389,1240,EU,IT
BLY,EIBT,Belmullet Aerodrome,54.22280121,-10.03079987,150,EU,IE
BMA,ESSB,Stockholm-Bromma Airport,59.35440063,17.94169998,47,EU,SE
BMK,EDWR,Borkum Airport,53.59639,6.709167,3,EU,DE
BMR,EDWZ,Baltrum Airport,53.72472382,7.373332977,7,EU,DE
BNJ,EDKB,Bonn-Hangelar Airport,50.76889038,7.163332939,197,EU,DE
BNN,ENBN,Brønnøysund Airport,65.46109772,12.21749973,25,EU,NO
BNX,LQBK,Banja Luka International Airport,44.94139862,17.29750061,400,EU,BA
BOD,LFBD,Bordeaux-Mérignac Airport,44.8283,-0.715556,162,EU,FR
BOH,EGHH,Bournemouth Airport,50.77999878,-1.842499971,38,EU,GB
BOJ,LBBG,Burgas Airport,42.56959915,27.51519966,135,EU,BG
BOO,ENBO,Bodø Airport,67.26920319,14.36530018,42,EU,NO
BOR,LFSQ,Aéroparc de Belfort-Fontaine,47.655602,7.01083,1208,EU,FR
BOU,LFLD,Bourges Airport,47.05810165,2.370280027,529,EU,FR
BQD,BIBR,Búðardalur Airport,65.07530212,-21.8003006,131,EU,IS
BQG,UHNB,Bogorodskoye Airport,52.38,140.448,,EU,RU
BQH,EGKB,London Biggin Hill Airport,51.3307991,0.032499999,598,EU,GB
BQT,UMBB,Brest Airport,52.108299,23.8981,468,EU,BY
BRE,EDDW,Bremen Airport,53.04750061,8.786669731,14,EU,DE
BRI,LIBD,Bari Karol Wojtyła Airport,41.138901,16.760599,177,EU,IT
BRN,LSZB,Bern Belp Airport,46.91410065,7.497149944,1674,EU,CH
BRQ,LKTB,Brno-Tuřany Airport,49.15129852,16.69440079,778,EU,CZ
BRR,EGPR,Barra Airport,57.0228,-7.44306,5,EU,GB
BRS,EGGD,Bristol Airport,51.382702,-2.71909,622,EU,GB
BRU,EBBR,Brussels Airport,50.90140152,4.48443985,184,EU,BE
BRV,EDWB,Bremerhaven Airport,53.506943,8.572778,10,EU,DE
BSL,LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.529167,885,EU,FR
BTS,LZIB,M. R. Štefánik Airport,48.17020035,17.21269989,436,EU,SK
BUD,LHBP,Budapest Liszt Ferenc International Airport,47.42976,19.261093,495,EU,HU
BVA,LFOB,Paris Beauvais Tillé Airport,49.45439911,2.112780094,359,EU,FR
BVE,LFSL,Brive-Souillac,45.039722,1.485556,1016,EU,FR
BVG,ENBV,Berlevåg Airport,70.871399,29.034201,42,EU,NO
BVV,UHSB,Burevestnik Airport,44.919998,147.621994,79,EU,RU
BWE,EDVE,Braunschweig-Wolfsburg Airport,52.319199,10.5561,295,EU,DE
BWF,EGNL,Barrow Walney Island Airport,54.1286111,-3.2675,173,EU,GB
BWK,LDSB,Bol Airport,43.28570175,16.67970085,1776,EU,HR
BWO,UWSB,Balakovo Airport,51.85829926,47.74560165,95,EU,RU
BWY,EGVJ,RAF Bentwaters,52.12749863,1.434720039,85,EU,GB
BXO,LSZC,Buochs Airport,46.974444,8.396944,1475,EU,CH
BXP,EPBP,Biała Podlaska Airfield,52.00078,23.1325278,485,EU,PL
BXV,BIBV,Breiðdalsvík Airport,64.79000092,-14.02280045,8,EU,IS
BYF,LFAQ,Albert-Bray Airport,49.9715004,2.697659969,364,EU,FR
BYJ,LPBJ,Beja Airport / Airbase,38.078899,-7.9324,636,EU,PT
BYR,EKLS,Læsø Airport,57.27719879,11.00010014,25,EU,DK
BYT,EIBN,Bantry Aerodrome,51.66859818,-9.48416996,7,EU,IE
BYU,EDQD,Bayreuth Airport,49.985001,11.64,1601,EU,DE
BZG,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,53.09680176,17.97769928,235,EU,PL
BZK,UUBP,Bryansk Airport,53.214199,34.176399,663,EU,RU
BZO,LIPB,Bolzano Airport,46.460201,11.3264,789,EU,IT
BZR,LFMU,Béziers-Vias Airport,43.32350159,3.353899956,56,EU,FR
BZY,LUBL,Bălți International Airport,47.843056,27.777222,758,EU,MD
BZZ,EGVN,RAF Brize Norton,51.75,-1.58362,288,EU,GB
CAG,LIEE,Cagliari Elmas Airport,39.251499,9.05428,13,EU,IT
CAL,EGEC,Campbeltown Airport,55.43719864,-5.686389923,42,EU,GB
CAT,LPCS,Cascais Airport,38.724998,-9.35523,325,EU,PT
CAX,EGNC,Carlisle Airport,54.9375,-2.809170008,190,EU,GB
CBG,EGSC,Cambridge Airport,52.205002,0.175,47,EU,GB
CBU,EDCD,Cottbus-Drewitz Airport,51.889442,14.531944,272,EU,DE
CCF,LFMK,Carcassonne Airport,43.2159996,2.306319952,433,EU,FR
CDF,LIDI,Cortina Airport,46.57300186,12.11800003,4213,EU,IT
CDG,LFPG,Charles de Gaulle International Airport,49.012798,2.55,392,EU,FR
CDT,LECH,Castellón-Costa Azahar Airport,40.213889,0.073333,1182,EU,ES
CEE,ULBC,Cherepovets Airport,59.27360153,38.01580048,377,EU,RU
CEG,EGNR,Hawarden Airport,53.17810059,-2.977780104,45,EU,GB
CEJ,UKRR,Chernihiv Shestovitsa Airport,51.40219879,31.1583004,446,EU,UA
CEK,USCC,Chelyabinsk Balandino Airport,55.305801,61.5033,769,EU,RU
CEQ,LFMD,Cannes-Mandelieu Airport,43.542,6.95348,13,EU,FR
CER,LFRC,Cherbourg-Maupertus Airport,49.65010071,-1.470280051,459,EU,FR
CET,LFOU,Cholet Le Pontreau Airport,47.08209991,-0.87706399,443,EU,FR
CFE,LFLC,Clermont-Ferrand Auvergne Airport,45.7867012,3.169169903,1090,EU,FR
CFN,EIDL,Donegal Airport,55.0442009,-8.340999603,30,EU,IE
CFR,LFRK,Caen-Carpiquet Airport,49.1733017,-0.449999988,256,EU,FR
CFU,LGKR,Ioannis Kapodistrias International Airport,39.60189819,19.9116993,6,EU,GR
CGN,EDDK,Cologne Bonn Airport,50.86589813,7.142739773,302,EU,DE
CHQ,LGSA,Chania International Airport,35.53170013,24.14970016,490,EU,GR
CHR,LFLX,"Châteauroux-Déols ""Marcel Dassault"" Airport",46.860278,1.721111,529,EU,FR
CHV,LPCH,Aerodromo de Chaves,41.722356,-7.463064,1181,EU,PT
CIA,LIRA,Ciampino–G. B. Pastine International Airport,41.7994,12.5949,427,EU,IT
CIY,LICB,Comiso Airport,36.994601,14.607182,623,EU,IT
CKC,UKKE,Cherkasy International Airport,49.41559982,31.99530029,375,EU,UA
CKL,UUMU,Chkalovskiy Air Base,55.8783,38.061699,499,EU,RU
CLB,EICB,Castlebar Airport,53.8484,-9.28037,,EU,IE
CLF,EGYC,RAF Coltishall,52.7547,1.35722,66,EU,GB
CLJ,LRCL,Cluj-Napoca International Airport,46.785198,23.686199,1039,EU,RO
CLY,LFKC,Calvi-Sainte-Catherine Airport,42.5244444,8.7930556,209,EU,FR
CMF,LFLB,Chambéry-Savoie Airport,45.63809967,5.88022995,779,EU,FR
CMR,LFGA,Colmar-Houssen Airport,48.10990143,7.35901022,628,EU,FR
CND,LRCK,Mihail Kogălniceanu International Airport,44.36220169,28.48830032,353,EU,RO
CNG,LFBG,Cognac-Châteaubernard (BA 709) Air Base,45.65829849,-0.317499995,102,EU,FR
CNL,EKSN,Sindal Airport,57.503502,10.2294,92,EU,DK
COL,EGEL,Coll Airport,56.60189819,-6.617780209,21,EU,GB
CPH,EKCH,Copenhagen Kastrup Airport,55.61790085,12.65600014,17,EU,DK
CQF,LFAC,Calais-Dunkerque Airport,50.96210098,1.954759955,12,EU,FR
CQM,LERL,Ciudad Real Central Airport,38.85638889,-3.97,,EU,ES
CRA,LRCV,Craiova Airport,44.31809998,23.8885994,626,EU,RO
CRL,EBCI,Brussels South Charleroi Airport,50.459202,4.45382,614,EU,BE
CRV,LIBC,Crotone Airport,38.9972,17.0802,522,EU,IT
CSA,EGEY,Colonsay Airstrip,56.057499,-6.24306,44,EU,GB
CSB,LRCS,Caransebeş Airport,45.41999817,22.25329971,866,EU,RO
CSF,LFPC,Creil Air Base,49.25350189,2.519140005,291,EU,FR
CSH,ULAS,Solovki Airport,65.02999878,35.73333359,60,EU,RU
CSO,EDBC,Cochstedt Airport,51.85639954,11.42029953,594,EU,DE
CSY,UWKS,Cheboksary Airport,56.09030151,47.34730148,558,EU,RU
CTA,LICC,Catania-Fontanarossa Airport,37.466801,15.0664,39,EU,IT
CTT,LFMQ,Le Castellet Airport,43.25249863,5.785190105,1391,EU,FR
CUF,LIMZ,Cuneo International Airport,44.547001,7.62322,1267,EU,IT
CVF,LFLJ,Courchevel Airport,45.396702,6.63472,6583,EU,FR
CVT,EGBE,Coventry Airport,52.36970139,-1.479719996,267,EU,GB
CVU,LPCR,Corvo Airport,39.671501,-31.1136,,EU,PT
CWC,UKLN,Chernivtsi International Airport,48.25930023,25.98080063,826,EU,UA
CWL,EGFF,Cardiff International Airport,51.39670181,-3.343329906,220,EU,GB
CZW,EPCH,Częstochowa-Rudniki,50.884998,19.2047,860,EU,PL
DBV,LDDU,Dubrovnik Airport,42.56140137,18.26819992,527,EU,HR
DCI,LIED,Decimomannu Air Base,39.354198,8.97248,100,EU,IT
DCM,LFCK,Castres-Mazamet Airport,43.55630112,2.28918004,788,EU,FR
DEB,LHDC,Debrecen International Airport,47.48889923,21.61529922,359,EU,HU
