,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,10594831.396418832,7933191.974076261,3882760.104687143,11520854.231095504,9500263.04282288,7606765.975750032,9038360.10463653,11332623.328276698,3649116.9822139433,4834276.8341481695,8141514.253278526,17098721.28830266,4470649.161036865,4337542.254562035,10013416.00245279,13923098.762898203,9420803.505915951,9230976.305944335,10595230.654369388,5673644.642018896,8857100.173833888,3556169.756721343,10472307.288909787,17803523.904479116,6546761.768924979,16234151.222166881,15064248.570695944,8522076.243435474,8127953.216359839,17284590.16161304,13861105.955241965,12520783.301382538,16763133.174484305,12608989.091461388,10976153.619883638,4484892.052759946,13227381.789160559,13105750.795531759,13490148.096454307,5425050.634712521,5634861.063867034,12885679.714406708,7979671.155661116,2403574.6640443956,7901992.7402714975,4072440.965759501,12542904.010066787
1,10594831.396418832,0.0,6641475.376188138,11542019.386964386,4496150.274252532,8002973.825197291,16044246.074045794,13346212.79405382,15065773.089479374,10024008.912008323,14618905.147585765,15568149.747853016,11047917.46421255,8352962.930738216,8354239.008625592,8936161.110046009,11027298.896264205,19226935.398227938,3391823.75817227,8142685.492757732,4921204.121519915,11104678.85433587,7886397.507970647,9697557.554924292,8306222.261733779,6188787.1006326545,5986592.475320915,10178356.216734888,10037107.26437143,11125128.544246064,12051492.624171643,7479212.770124108,8552290.617798416,6235310.45550692,2088726.3599942555,15427482.920747975,13964232.327062331,3784840.8634137404,10519153.985291403,10450100.286879577,5948864.35536479,15127205.87869971,6686791.550596723,7589831.3441473525,11510581.778601749,2791545.8025608365,13148093.605406953,16860792.59587324
2,7933191.974076261,6641475.376188138,0.0,5881871.6403902825,11078860.199314414,13662012.276494006,9415060.109804504,6976949.436528483,9731196.297155976,4807798.438221231,8867897.938141465,15679246.458231293,14973122.679513024,3479408.5765897287,9970752.056852443,3412926.7680355553,17361786.885166414,14061175.992941689,9084381.624375805,14312663.423867345,5755653.832677184,4765573.483738691,4562489.007781655,4330992.1782583855,9873199.322434772,9827132.813872268,8853377.945302347,8301364.729564683,3619285.5349223698,4584996.159956315,13945883.655280765,14017759.103637049,15182258.916397156,9687067.164220363,7193972.219447077,17887574.20232939,8224837.5099664405,10204272.61396393,6906969.683469559,17002778.360410918,3559496.27161299,9005147.522304362,4968947.650711696,999860.9699302181,6809920.228136903,5125245.572007043,7474994.732689926,14428411.763114506
3,3882760.104687143,11542019.386964386,5881871.6403902825,0.0,14588282.054351885,13380649.12828611,5014140.244295276,5282865.331753151,8035688.589808542,1532823.7554138782,3158088.3957717502,9830271.378964094,17056281.071248453,3189989.4380089347,8139713.956595743,6578548.631509759,16724250.830734165,8912989.81603779,11945224.202705339,14477929.451182744,7459968.483818591,5017692.345662537,3937272.7191790366,6817557.285204246,14436780.303944409,10032436.882798366,14476444.60266945,11212574.69955135,4882994.342950423,4295447.25692158,15232707.573218847,17673905.17982662,16382250.3336741,15343151.241444046,12838263.54380871,12199437.042206144,2482585.1859381977,15269980.625085896,9258486.903230026,16735701.812453484,5647743.818402331,3585434.170613256,10062740.04099606,5386990.554269392,1524424.8440679875,8900479.830598509,1666264.3027530746,11179338.167041762
4,11520854.231095504,4496150.274252532,11078860.199314414,14588282.054351885,0.0,3992785.0558631863,18825703.26373051,17742229.839816708,17149706.00871009,13187973.241395878,16223650.369571244,11552798.929995392,8351958.985217039,11844848.652545575,7398276.60612218,13291117.688217428,6880364.941188095,14751655.709970148,2656366.7575853425,3775249.9947785637,7188949.072110147,15573600.321875727,10713606.76178587,13918240.342352428,8901042.450782405,4991965.894873517,7080599.167242806,12187100.90756476,14531363.6680908,15619469.148441188,10155226.509346291,3488162.8373210025,4109512.2224021833,6639412.956001066,4880926.547064967,10941812.540138861,15997687.381984748,2256458.009826871,13564223.29535496,6180933.316418249,9335301.650277976,17010029.410554007,10264233.271791564,12054428.118960636,13646715.727562372,6283532.752168887,15543631.822028406,13883898.90692963
5,9500263.04282288,8002973.825197291,13662012.276494006,13380649.12828611,3992785.0558631863,0.0,14894839.736903021,18088981.327680804,16572365.2835268,12744804.885275973,13005434.40274609,7677258.972443783,8755778.420011284,12354448.853313966,5302320.440611865,16836091.93633389,5658979.2004979,11229796.712069115,4808162.538041858,1122194.3161684915,8096928.707026734,18055130.799477935,10800381.698333537,17684276.143037226,11882387.962129997,4103415.0611624885,10675215.916065427,15322067.051452652,17078335.76797806,17404953.99344775,10700396.6011641,4397749.5240474185,3105623.5546707828,10024391.71088794,8844761.460722461,7869226.493872551,13154290.792351628,6122856.081632605,17176037.841809094,4884779.899666587,10534353.949331352,13600442.101570731,14256527.499162307,14611092.220494993,11893499.953883018,8594992.10672328,13202073.627168158,11905082.226278082
6,7606765.975750032,16044246.074045794,9415060.109804504,5014140.244295276,18825703.26373051,14894839.736903021,0.0,3274927.574338719,3836212.9689188567,6517110.3103236705,2786974.621270228,7495533.001918043,12066154.663563633,8038443.808018058,11561510.018144408,7622466.404807566,12903930.525288843,4646643.348406177,16795393.78779986,15252664.322009243,12459496.661312487,5266025.256145658,8950506.810423262,7083346.956542313,12196092.29723632,14028742.793635286,14088148.78486288,8971398.349677663,6201671.12423197,5072132.929908283,10428400.443523373,16453374.989526983,15353941.501780296,14495042.493967667,16113538.571844732,8492584.965563009,3148600.91507552,18920853.38921139,7613753.883472228,13508328.540708045,10573347.607053362,1980822.4283975593,10832099.967012124,8490547.575313589,5681110.559877235,13787580.844215393,3755802.320986759,6198222.5634202
7,9038360.10463653,13346212.79405382,6976949.436528483,5282865.331753151,17742229.839816708,18088981.327680804,3274927.574338719,0.0,3122331.3758950783,6284866.074569029,5112926.634376765,10708644.994839936,12116111.856974365,7158756.976432313,13373469.180997735,4458610.8153840285,14572737.230761755,7427513.715430897,16026174.60792725,18486386.550017614,11838929.098669022,2257871.390193658,8587184.469917547,3829083.557550058,9872787.593138646,15262078.542316742,11230113.82228105,6410285.171081385,3377727.620267299,2420143.010532571,10138249.021014363,17048129.82076994,17550294.624665923,11853910.355661811,12876395.190866675,11137923.70241888,5023488.28410171,15759042.896271365,4679340.972420334,15361182.978494119,9428929.366559861,4492991.161784051,7562806.45874464,5977454.478127364,6648787.360595533,12049676.319416247,5092776.859440246,7611179.578755321
8,11332623.328276698,15065773.089479374,9731196.297155976,8035688.589808542,17149706.00871009,16572365.2835268,3836212.9689188567,3122331.3758950783,0.0,9261028.072476666,6599086.002455247,9366240.89828024,9137917.934433902,10272507.746443907,15395170.516133513,6579901.9820688125,11467634.96847258,5653182.381312837,18457507.322614647,15927020.375366423,14959082.319181405,5034527.085489594,11657038.243764147,5690983.274140424,8382571.10917293,17856888.179146525,10434794.699628443,5374135.089779779,6164991.544245895,5427515.510348275,7209161.366068897,14187535.45628002,14434835.328980485,10715771.729842313,13612116.686947718,8715027.3637672,6857390.035788306,15159473.349698815,4577880.350625586,12263031.391211621,12533060.778073857,5797645.668659536,8387705.528292376,8754795.064899119,9147062.270722311,14833596.523221733,7287246.038674929,4698703.8905510595
9,3649116.9822139433,10024008.912008323,4807798.438221231,1532823.7554138782,13187973.241395878,12744804.885275973,6517110.3103236705,6284866.074569029,9261028.072476666,0.0,4627227.246206075,10882214.873865755,18395163.947478153,1695928.346821058,7456327.372876648,6366041.815070878,17510984.435623538,10401764.584469689,10531642.352884138,13865544.803128496,6004168.602313517,5410722.123549021,2474435.398446258,6841836.118984947,14276567.046089994,8981552.736156635,13655384.86051058,11507969.735301778,4909126.9855877515,4695618.147644743,16423113.957987789,16553958.13547201,15846905.689540442,14494575.747909164,11424937.840171421,13471340.5910178,3956970.0176886404,13737375.315007884,9576725.659296282,17139255.21773108,4114963.2755076718,5108504.306301413,9478742.72801615,4553416.293038454,2002284.9268448518,7367656.908464837,3134199.9846398686,12702729.613393283
10,4834276.8341481695,14618905.147585765,8867897.938141465,3158088.3957717502,16223650.369571244,13005434.40274609,2786974.621270228,5112926.634376765,6599086.002455247,4627227.246206075,0.0,7040642.472561515,14311295.862896927,6320542.968824606,8825592.034638818,8496306.571196565,13772201.579268817,5774597.558578297,14063078.18586089,13789027.809109816,10057976.10903631,6264011.651888562,6760732.186439236,8320321.360732162,14846283.878945768,11258313.9112309,16310116.715814322,11447215.660832386,6750865.530180547,5732400.670118621,12983726.789068826,16703941.278993353,14945903.756218502,16966533.34728523,15984673.841841249,9109448.065200413,675512.6144905456,18034479.478781994,9792220.917002143,14050868.90421594,8670046.849239966,806163.3734763422,12133939.132628987,8194890.808485643,3176147.77667987,11872964.529689476,1496880.2047968055,8333497.262686135
11,8141514.253278526,15568149.747853016,15679246.458231293,9830271.378964094,11552798.929995392,7677258.972443783,7495533.001918043,10708644.994839936,9366240.89828024,10882214.873865755,7040642.472561515,0.0,9070714.885787873,12346149.844637968,8044388.765310741,15117175.502837792,6894618.204908705,3716004.409067219,12180643.580769772,7783460.246629791,12609876.5576173,12749954.410774747,11697362.947548565,14532546.924628489,13913013.930831429,9670453.314214094,15417187.360690027,13738662.148582267,13578364.948578712,12455817.46564401,9396140.80232516,9743313.945131632,8113377.688388794,14612931.410955187,16395560.708443973,2834798.1924033705,7626828.089776066,13293897.400261609,13858587.948796755,7037281.582890098,13482912.467977298,7117689.582059238,17672371.7609737,15191248.072058516,8881623.927291883,14695251.210670525,8307445.970908878,5976531.082535841
