0, 45, 12, 24
0, 0, 0, 5
0, 23, 8, 8
0, 23, 23, 8
0, 23, 8, 8
0, 23, 23, 8
0, 7, 34, 10
0, 43, 22, 11
0, 43, 22, 30
0, 33, 1, 22
0, 33, 20, 22
0, 33, 1, 43
0, 16, 4, 12
0, 42, 21, 12
0, 41, 37, 12
0, 40, 0, 12
0, 40, 38, 12
0, 38, 42, 12
0, 40, 0, 12
0, 40, 38, 12
0, 21, 45, 12
0, 23, 8, 8
0, 23, 23, 8
0, 35, 39, 18
0, 32, 35, 15
0, 32, 35, 18
0, 32, 39, 30
0, 32, 35, 15
0, 32, 35, 18
0, 32, 39, 30
0, 47, 39, 18
0, 47, 11, 30
0, 33, 1, 22
0, 33, 20, 22
0, 33, 1, 43
0, 17, 6, 20
0, 17, 6, 22
0, 17, 6, 47
0, 33, 1, 22
0, 33, 20, 22
0, 33, 1, 43
0, 33, 1, 22
0, 33, 20, 22
0, 33, 1, 43
0, 5, 24, 23
0, 45, 12, 24
0, 13, 9, 29
0, 31, 25, 29
0, 36, 28, 29
0, 14, 14, 29
0, 22, 11, 30
0, 32, 35, 15
0, 32, 35, 18
0, 32, 39, 30
0, 47, 39, 18
0, 47, 11, 30
0, 17, 6, 20
0, 17, 6, 22
0, 17, 6, 47
0, 11, 39, 18
0, 33, 1, 22
0, 33, 20, 22
0, 33, 1, 43
0, 17, 6, 20
0, 17, 6, 22
0, 17, 6, 47
0, 1, 20, 43
0, 19, 3, 44
0, 26, 27, 46
0, 17, 6, 20
0, 17, 6, 22
0, 17, 6, 47
